City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,hawaiian paradise park,19.5933,-154.9731,300.95,84,75,4.63,US,1690150194
166,roswell,34.0232,-84.3616,306.03,53,0,3.6,US,1690149941
167,mocimboa,-11.3167,40.35,294.76,87,12,3.81,MZ,1690150194
168,esmeraldas,-19.7625,-44.3139,293.63,71,42,3.64,BR,1690150195
169,east london,-33.0153,27.9116,287.63,70,100,7.45,ZA,1690150195
170,waingapu,-9.6567,120.2641,295.56,87,42,5.21,ID,1690150189
171,portland,45.5234,-122.6762,305.31,37,20,3.09,US,1690149994
172,vorgashor,67.5833,63.95,287.67,97,100,2.93,RU,1690150196
173,inarajan village,13.2736,144.7484,302.23,85,100,5.42,GU,1690150196
174,evinayong,1.4368,10.5512,293.14,99,94,1.43,GQ,1690150197
175,port alfred,-33.5906,26.891,286.03,81,100,2.24,ZA,1690150197
176,lamu,-2.2717,40.902,297.27,83,72,6.8,KE,1690150198
177,linyi,35.0631,118.3428,297.65,85,0,0.53,CN,1690150198
178,i-n-salah,27.1935,2.4607,311.64,11,24,4.4,DZ,1690150198
179,okahandja,-21.9833,16.9167,287.98,39,26,0.95,NA,1690150198
180,salalah,17.0151,54.0924,299.2,94,100,1.54,OM,1690150199
181,prado,-17.3411,-39.2208,294.99,90,41,4.26,BR,1690150199
182,bolivar,37.6145,-93.4105,307.36,45,32,3.91,US,1690150199
183,san patricio,28.017,-97.5169,311.55,39,51,8.31,US,1690150200
184,whitehorse,60.7161,-135.0538,294.27,32,76,4.3,CA,1690150200
185,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,72,40,8.0,RU,1690150145
186,katsuren-haebaru,26.3369,127.8719,302.16,83,36,5.47,JP,1690150201
187,ostersund,63.1792,14.6357,285.16,37,100,3.09,SE,1690150201
188,izhmorskiy,56.194,86.6414,287.71,96,100,3.75,RU,1690150202
189,aracuai,-16.8497,-42.0703,295.27,73,83,2.59,BR,1690150203
190,kargat,55.1956,80.2811,288.77,80,92,2.18,RU,1690150203
191,okhotsk,59.3833,143.3,292.35,60,7,1.5,RU,1690150179
192,smithers,54.7804,-127.1743,295.05,36,78,0.8,CA,1690150204
193,port elizabeth,-33.918,25.5701,285.43,76,40,8.23,ZA,1690149913
194,olyokminsk,60.3736,120.4264,295.06,63,0,0.77,RU,1690150207
195,hualien city,23.9769,121.6044,300.1,77,100,1.47,TW,1690150207
196,bermejo,-32.8833,-68.8,285.13,37,22,1.61,AR,1690150208
197,pisco,-13.7,-76.2167,295.18,64,0,6.17,PE,1690150208
198,khandyga,62.6667,135.6,292.77,75,13,1.19,RU,1690150176
199,pionerskiy,54.9508,20.2275,288.06,89,100,2.54,RU,1690150209
200,hamilton,39.1834,-84.5333,302.58,46,20,5.66,US,1690150104
201,flying fish cove,-10.4217,105.6791,296.97,88,100,4.63,CX,1690150210
202,afaahiti,-17.75,-149.2833,300.08,75,61,4.36,PF,1690150211
203,dryden,49.7833,-92.7503,297.19,30,5,3.06,CA,1690150211
204,kegen,43.0197,79.2203,286.62,54,57,2.33,KZ,1690150211
205,port mathurin,-19.6833,63.4167,296.29,73,10,7.49,MU,1690150126
206,gumdag,39.2061,54.5906,305.58,17,0,4.73,TM,1690150212
207,kapa'a,22.0752,-159.319,302.33,80,75,7.2,US,1690150213
208,rawson,-43.3002,-65.1023,278.74,52,56,4.98,AR,1690150213
209,es castell,39.8795,4.2854,300.53,100,0,1.54,ES,1690150214
210,new norfolk,-42.7826,147.0587,284.66,87,96,2.05,AU,1690150214
211,kruisfontein,-34.0033,24.7314,284.2,75,56,7.13,ZA,1690150214
212,berezovyy,51.6667,135.7,295.53,54,100,1.4,RU,1690150159
213,holualoa,19.6228,-155.9522,301.79,79,40,5.14,US,1690150158
214,rampachodavaram,17.45,81.7667,297.68,95,100,1.92,IN,1690150215
215,manokwari,-0.8667,134.0833,299.12,81,100,3.42,ID,1690149931
216,yarmouth,41.7057,-70.2286,300.91,64,0,3.13,US,1690150216
217,forster,-32.1667,152.5167,284.98,100,78,3.66,AU,1690150217
218,bonthe,7.5264,-12.505,298.57,86,100,3.74,SL,1690150217
219,tazacorte,28.629,-17.9293,296.69,86,20,6.17,ES,1690150218
220,san pedro pochutla,15.7333,-96.4667,294.99,62,97,2.22,MX,1690150219
221,cockburn town,21.4612,-71.1419,301.49,79,4,5.96,TC,1690150219
222,redencao,-4.2258,-38.7306,296.69,79,65,1.71,BR,1690150220
223,isla mujeres,21.2311,-86.731,305.18,74,84,4.46,MX,1690150220
224,pangobilian,8.8011,117.8594,299.46,85,100,1.74,PH,1690150221
225,utrik,11.2278,169.8474,301.67,78,70,8.06,MH,1690150221
226,bagudo,11.4033,4.2296,300.45,74,91,3.04,NG,1690150222
227,ujae,8.9322,165.7642,302.07,77,79,7.47,MH,1690150222
228,parral,26.9333,-105.6667,304.79,20,4,5.76,MX,1690150110
229,socorro,31.6546,-106.3033,310.71,21,75,4.63,US,1690150223
230,langepas,61.2544,75.2124,289.06,77,31,0.47,RU,1690150223
231,bayanhongor,46.7167,100.1167,283.22,67,39,0.59,MN,1690150223
232,sinabang,2.4803,96.3801,299.08,82,97,1.39,ID,1690150224
233,aasiaat,68.7098,-52.8699,276.88,96,100,0.83,GL,1690150037
234,usinsk,65.9939,57.5281,289.26,69,100,4.15,RU,1690150224
235,al jawf,29.5,38.75,304.75,17,4,3.55,SA,1690150225
236,buka,40.8108,69.1986,297.71,29,1,3.77,UZ,1690150225
237,saint-joseph,-21.3667,55.6167,293.41,81,31,5.08,RE,1690150180
238,ust-nera,64.5667,143.2,289.44,64,38,1.3,RU,1690150187
239,tabou,4.423,-7.3528,298.54,82,100,4.29,CI,1690150226
240,volodymyr-volynskyi,50.8525,24.3236,291.09,66,100,4.66,UA,1690150226
241,bathsheba,13.2167,-59.5167,300.93,78,98,6.9,BB,1690150226
242,mount isa,-20.7333,139.5,281.02,66,0,4.63,AU,1690150195
243,ravenna,44.4167,11.9833,300.31,92,1,2.12,IT,1690150227
244,dinghaicun,26.2847,119.7936,299.14,90,98,0.66,CN,1690150227
245,brokopondo,4.75,-55.1667,302.47,65,64,0.9,SR,1690150228
246,motygino,58.1831,94.7592,288.24,98,16,1.17,RU,1690150228
247,pathein,16.7833,94.7333,298.44,93,24,1.89,MM,1690150229
248,sattahip,12.6664,100.9007,298.7,94,75,1.54,TH,1690150230
249,kotido,2.9806,34.1331,295.24,62,85,2.27,UG,1690150230
250,les cayes,18.2,-73.75,301.95,77,86,4.6,HT,1690150230
251,mogocha,53.7333,119.7667,289.51,86,96,0.98,RU,1690150231
252,seneca,41.1167,-83.1166,296.19,74,49,3.97,US,1690150231
253,santana,-0.0583,-51.1817,302.25,70,20,2.57,BR,1690150163
254,askoy,60.4092,5.226,288.57,50,40,3.09,NO,1690150232
255,kiunga,-6.1219,141.2906,294.73,99,100,0.3,PG,1690150232
256,ialibu,-6.2821,143.9935,286.3,99,100,0.41,PG,1690150233
257,port-cartier,50.0334,-66.8654,292.45,82,78,3.22,CA,1690150233
258,ebersberg,48.0771,11.9706,293.05,80,92,0.99,DE,1690150233
259,paranaiba,-19.6772,-51.1908,297.7,35,0,1.43,BR,1690150065
260,ulan bator,47.9077,106.8832,284.22,93,40,1.0,MN,1690150234
261,weno,7.4515,151.8468,300.75,82,100,7.55,FM,1690150234
262,brookings,44.3114,-96.7984,303.34,58,6,2.2,US,1690150085
263,gargalianoi,37.0667,21.6333,306.12,52,0,2.83,GR,1690150235
264,puerto armuelles,8.2833,-82.8667,304.14,77,99,1.34,PA,1690150235
265,waddan,29.1614,16.139,304.74,22,0,5.82,LY,1690150235
266,laojunmiao,39.8333,97.7333,294.88,27,88,1.52,CN,1690150036
267,idabel,33.8957,-94.8263,305.12,48,0,2.06,US,1690150236
268,kalmunai,7.4167,81.8167,299.47,73,93,1.82,LK,1690150161
269,novodvinsk,64.4165,40.8122,284.27,97,98,1.57,RU,1690150236
270,higuera de zaragoza,25.95,-109.2833,308.11,51,95,7.82,MX,1690150236
271,shamva,-17.3116,31.5756,285.74,64,0,0.71,ZW,1690150236
272,sungai penuh,-2.0833,101.3833,290.75,95,100,0.68,ID,1690150237
273,hwasun,35.0594,126.985,296.69,99,100,1.37,KR,1690150237
274,berdigestyakh,62.0989,126.6992,294.92,66,6,1.66,RU,1690150237
275,bozkurt,41.9577,34.0109,295.34,80,24,3.0,TR,1690150238
276,chonchi,-42.6128,-73.8092,278.77,91,100,1.04,CL,1690150238
277,mtwango,-9.0167,34.8,284.03,95,7,3.82,TZ,1690150238
278,ketchikan,55.3422,-131.6461,290.41,72,100,4.63,US,1690150239
279,yuncheng,35.0231,110.9928,300.49,38,100,1.23,CN,1690150239
280,necochea,-38.5473,-58.7368,280.72,74,100,4.4,AR,1690150239
281,souillac,-20.5167,57.5167,294.36,88,40,5.14,MU,1690150239
282,sao francisco de paula,-29.4481,-50.5836,288.22,92,37,1.4,BR,1690150239
283,biloela,-24.4167,150.5,282.76,90,100,6.87,AU,1690150240
284,kitimat,54.0524,-128.6534,292.36,65,98,1.34,CA,1690150240
285,nadym,65.5333,72.5167,289.45,80,26,2.83,RU,1690150152
286,sitka,57.0531,-135.33,287.09,88,100,3.09,US,1690150161
287,gaalkacyo,6.7697,47.4308,298.66,56,100,10.44,SO,1690149986
288,nampula,-15.1165,39.2666,287.98,93,0,1.31,MZ,1690150241
289,general pico,-35.6566,-63.7568,282.53,49,100,3.45,AR,1690150242
290,faya-largeau,17.9257,19.1043,307.16,16,36,1.05,TD,1690150242
291,kone,-21.0595,164.8658,293.86,48,2,1.54,NC,1690150175
292,pasuquin,18.3328,120.6177,299.12,94,75,1.03,PH,1690150243
293,la ronge,55.1001,-105.2842,296.29,43,82,2.57,CA,1690150243
294,halikko,60.4,23.0833,283.92,94,28,1.61,FI,1690150244
295,dellys,36.9172,3.9131,303.56,51,0,2.9,DZ,1690150244
296,chifeng,42.2683,118.9636,293.24,80,2,0.38,CN,1690150245
297,kolwezi,-10.7148,25.4667,289.78,49,10,2.2,CD,1690150245
298,sao vicente,-23.9631,-46.3919,299.41,26,1,1.63,BR,1690150245
299,tralee,52.2704,-9.7026,286.39,94,64,2.16,IE,1690150246
300,baringo,0.4667,35.9667,294.24,59,54,3.14,KE,1690150246
301,tekkali,18.6167,84.2333,299.99,88,77,2.04,IN,1690150246
302,scituate,42.1959,-70.7259,303.97,59,0,2.57,US,1690150247
303,hilo,19.7297,-155.09,301.07,87,75,4.63,US,1690150247
304,san antonio de pale,-1.4014,5.6325,295.87,82,63,5.06,GQ,1690150247
305,sagua de tanamo,20.5819,-75.2414,304.63,55,0,3.16,CU,1690150247
306,the pas,53.8251,-101.2541,298.09,27,9,2.59,CA,1690150248
307,kuqa,41.7278,82.9364,301.68,30,100,2.88,CN,1690150248
308,ancud,-41.8697,-73.8203,278.01,82,100,3.99,CL,1690150248
309,tete,-16.1564,33.5867,289.2,82,0,0.0,MZ,1690150248
310,walvis bay,-22.9575,14.5053,284.31,75,22,0.9,NA,1690150249
311,olonkinbyen,70.9221,-8.7187,277.95,90,98,4.83,SJ,1690150249
312,roxas,11.5853,122.7511,297.12,87,92,5.72,PH,1690150249
313,toliara,-23.35,43.6667,291.91,89,1,2.35,MG,1690150171
314,sharypovo,55.5403,89.2008,285.33,92,65,2.33,RU,1690150250
315,tinajo,29.0788,-13.7081,295.64,68,40,6.69,ES,1690150250
316,tari,12.4086,4.4914,301.56,69,98,3.76,NG,1690150250
317,constantia,44.1833,28.65,291.53,62,0,0.87,RO,1690150136
318,silleda,42.696,-8.2465,289.34,92,99,1.09,ES,1690150251
319,ilabaya,-17.4208,-70.5133,294.51,40,9,1.97,PE,1690150251
320,lata,40.1629,-8.3327,293.05,98,60,0.97,PT,1690150251
321,nizhneudinsk,54.9076,99.0276,286.87,93,100,1.29,RU,1690150252
322,novyy urengoy,66.0833,76.6333,292.55,67,88,2.41,RU,1690150252
323,sretensk,52.2453,117.7093,288.89,98,99,0.52,RU,1690150252
324,qui nhon,13.7667,109.2333,299.02,85,99,2.11,VN,1690150252
325,tsukumiura,33.0706,131.8572,298.19,92,35,2.8,JP,1690150253
326,el calafate,-50.3408,-72.2768,267.63,74,3,0.93,AR,1690150253
327,vernon,50.2581,-119.2691,308.57,17,5,0.45,CA,1690150160
328,geraldton,-28.7667,114.6,281.38,61,0,7.2,AU,1690150253
329,tarawa,1.419,172.984,304.2,70,40,3.6,KI,1690150254
330,el granada,37.5027,-122.4694,308.1,70,0,8.23,US,1690150163
331,arteche,12.2645,125.4048,299.96,81,100,8.02,PH,1690150206
332,bogalusa,30.791,-89.8487,306.9,58,0,1.54,US,1690150254
333,funafuti,-8.5243,179.1942,301.93,77,39,6.83,TV,1690150254
334,barranca,-10.75,-77.7667,293.78,72,4,4.91,PE,1690150255
335,merizo village,13.2658,144.6691,302.0,85,100,5.55,GU,1690150255
336,verwood,50.8758,-1.8702,289.73,90,75,3.6,GB,1690150255
337,la cocha,-27.7773,-65.5704,288.51,40,100,1.33,AR,1690150255
338,iskateley,67.6803,53.1512,288.11,94,100,3.04,RU,1690150256
339,terbanggi besar,-4.8667,105.2333,297.25,87,81,1.88,ID,1690150256
340,ishigaki,24.3448,124.1572,302.14,77,27,5.05,JP,1690150105
341,coahuayana de hidalgo,18.7,-103.6583,306.14,52,78,2.91,MX,1690150128
342,lazaro cardenas,17.9583,-102.2,304.34,61,20,4.44,MX,1690150190
343,dunedin,-45.8742,170.5036,282.48,97,100,1.34,NZ,1690150031
344,bima,-8.4667,118.7167,295.02,94,45,1.69,ID,1690150257
345,banda aceh,5.5577,95.3222,299.6,71,92,5.95,ID,1690150257
346,aykhal,66.0,111.5,292.88,64,94,4.85,RU,1690150258
347,nuku'alofa,-21.1333,-175.2,298.34,61,20,3.6,TO,1690150139
348,gobabis,-22.45,18.9667,287.92,37,11,1.17,NA,1690150258
349,solone,48.2081,34.8721,289.45,70,45,2.94,UA,1690150068
350,sur,22.5667,59.5289,300.64,78,100,3.67,OM,1690150258
351,kupang,-10.1667,123.5833,296.77,73,100,7.86,ID,1690150259
352,padalarang,-6.8378,107.4728,293.2,96,79,1.12,ID,1690150259
353,thinadhoo,0.5333,72.9333,301.43,74,9,4.19,MV,1690150259
354,bandarbeyla,9.4942,50.8122,297.74,76,100,12.93,SO,1690150260
355,ocana,8.2377,-73.356,297.92,64,100,1.0,CO,1690150192
356,samut sakhon,13.5833,100.3,299.14,86,100,2.25,TH,1690150260
357,yuma,32.7253,-114.6244,317.17,20,0,5.42,US,1690150220
358,jayapura,-2.5333,140.7,297.81,94,100,3.44,ID,1690150260
359,siavonga,-16.5382,28.7088,292.49,51,0,1.83,ZM,1690150261
360,talara,-4.5772,-81.2719,299.57,65,0,7.2,PE,1690150182
361,kani keli,-12.9536,45.1033,295.74,68,3,5.41,YT,1690149986
362,atakpame,7.5333,1.1333,294.88,95,91,1.56,TG,1690150261
363,pechora,65.1472,57.2244,288.95,71,100,2.43,RU,1690150262
364,ikwiriri,-7.9562,38.9716,294.38,89,69,1.37,TZ,1690150262
365,birjand,32.8663,59.2211,294.68,27,0,5.59,IR,1690150262
